language1,language2,level
ungläubig,neveriacky,1
lauern,striehnut,1
lauern,striehnut,2
lauern,striehnut,3
lauern,striehnut,4
lauern,striehnut,5
der Kopf,hlava,1
der Leim,lepidlo,1
der Kleister,lepidlo,1
der Halunke,naničhodník,1
einschärfen,vštepovať/pripomínať,1
grinsen,šklabiť sa/škeriť sa,1
lauschen,nacuvat,1
wohl,dobre/asi/pravdepodobne
denn,lebo/pretoze/azda/vari/hadam,1
bestimmt,isto/urcite,1
bloß,holý/len/iba,1
anstarren,zízať/civieť/uprene sa dívať,1
das Steckbrief,zatykač,1
brummen,bručať/mrmlať/šomrať,1
unverzüglich,neodkladne/okamžite,1
die Aufforderung,výzva,1
der Hinweis,pokyn/rada/informácia/indícia,1
zweckdienlich,účelný/prospešný/užitočný,1
die Lage,poloha/situácia/stav,1
der Pfeffer,čierne korenie,1
der Säbel,šabľa,1
der Stoppelbart,strnisko,1
das Band,stuha/páska/pás,1
der Landkreis,okres,1
die Bekanntmachung,oznámenie/vyhláška,1
amtlich,úradný/oficiálny,1
stammeln,zajakávať sa/koktať,1
verhören,vypočúvať/prepočuť/zle počuť,1
unverhofft,neočakávaný/nepredvídaný,1
nun,teraz/proste/teda,1
nunmehr,odteraz/teraz/už,1
wohl,dobre/asi,1
hübsch,pekný/pôvabný,1
die Haltestelle,zastávka,1
das Gerangel,klbčenie sa,1
stur,zarytý/neústupný,1
aus Leibeskräften,zo všetkých síl,1
der Leib,telo,1
greifen,chytiť/vziať/siahnuť,1
schimpfen,nadávať/hromžiť/vynadať,1
rumpeln,rachotiť/lomoziť/šramotiť,1
der Karren,kára/vozík,1
der Bösewicht,zlosyn/lotor/ničomník,1
plumpsen,pesknúť/čľupnúť,1
sämtlich,všetko/všetka,1
samt,spolu/s/vrátane,1
hieven,zodvihnúť,1
raunzen,nadávať/hromžiť,1
der Befehl,rozkaz,1
bloß,holý/len/iba,1
jubeln,jasať/plesať/radovať sa,1
fabelhaft,úžasný/vynikajúci/báječný,1
